,calories,group,shortname
0,8800.0,oil,cooking_oil
1,7200.0,oil,butter_margarine
2,3600.0,starch,rice_husked
3,2880.0,starch,rice_paddy
4,1060.0,starch,maize_green
5,3640.0,starch,maize_grain
6,3640.0,starch,maize_flour
7,3780.0,starch,millet_grain
8,3820.0,starch,millet_flour
9,3270.0,starch,wheat
10,2670.0,starch,bread
11,3240.0,starch,bunscakes
12,3520.0,starch,pasta
13,3000.0,starch,othercereal
14,3520.0,starch,pulses
15,3870.0,sugars,sugar
16,3500.0,sugars,sweet
17,3000.0,sugars,honey
18,5670.0,fat,peanuts
19,3500.0,fat,coconut
20,5500.0,fat,cashew_almonds
21,5500.0,fat,nut_products
22,1000.0,fat,milk_products
23,400.0,milk,fresh_milk
24,400.0,milk,canned_milk
25,1090.0,meat,goat
26,2500.0,meat,beef
27,3000.0,meat,pork
28,1600.0,meat,chicken
29,1600.0,meat,wild_birds
30,2500.0,meat,wild_meat
31,1000.0,meat,fish_seafood
32,1500.0,meat,dried_canned_fish
33,1000.0,meat,packaged_fish
34,1500.0,meat,eggs
35,,alcohol,beer
36,,alcohol,brews
37,,alcohol,winespirits
38,,condiments,spices
39,,condiments,salt
40,400.0,vegetables,onion
41,300.0,vegetables,greens
42,400.0,vegetables,dried_canned_veg
43,1600.0,vegstarch,cassava_fresh
44,1590.0,vegstarch,cassava_flour
45,860.0,vegstarch,sweet_potato
46,1180.0,vegstarch,yam
47,770.0,vegstarch,potatoes
48,1000.0,vegstarch,banana_green
49,1000.0,vegstarch,othervegstarch
50,,beverages,tea
51,,beverages,coffee
52,,beverages,miscdrinkpowder
53,,beverages,canned_drink
54,,beverages,readymade_tea_coffee
55,1000.0,fruits,banana_ripe
56,450.0,fruits,citrus
57,600.0,fruits,mangoes
58,1800.0,fruits,sugarcane
